"日付","休日区分","シフト開始","シフト終了","出勤時刻","退勤時刻","労働時間","シフト外労働時間","残業時間","深夜時間","休憩時間","勤怠状況","エラー"
2025/12/1,"","10:00","18:00","09:28","18:48","08:20","01:20","00:20","","01:00","",""
2025/12/2,"","10:00","18:00","09:34","19:12","08:38","01:38","00:38","","01:00","",""
2025/12/3,"","10:00","18:00","09:27","18:45","08:18","01:18","00:18","","01:00","",""
2025/12/4,"","10:00","18:00","09:32","18:52","08:20","01:20","00:20","","01:00","",""
2025/12/5,"","10:00","18:00","09:29","18:38","08:09","01:09","00:09","","01:00","",""
2025/12/6,"公休","","","","","","","","","","",""
2025/12/7,"公休","","","","","","","","","","",""
2025/12/8,"","10:00","18:00","09:35","18:55","08:20","01:20","00:20","","01:00","",""
2025/12/9,"","10:00","18:00","09:26","19:18","08:52","01:52","00:52","","01:00","",""
2025/12/10,"","10:00","18:00","09:33","18:44","08:11","01:11","00:11","","01:00","",""
2025/12/11,"","10:00","18:00","09:28","18:58","08:30","01:30","00:30","","01:00","",""
2025/12/12,"","10:00","18:00","09:34","18:42","08:08","01:08","00:08","","01:00","",""
2025/12/13,"公休","","","","","","","","","","",""
2025/12/14,"公休","","","","","","","","","","",""
2025/12/15,"","10:00","18:00","09:27","18:51","08:24","01:24","00:24","","01:00","",""
2025/12/16,"","10:00","18:00","09:32","19:25","08:53","01:53","00:53","","01:00","",""
2025/12/17,"","10:00","18:00","09:29","18:45","08:16","01:16","00:16","","01:00","",""
2025/12/18,"","10:00","18:00","09:35","18:52","08:17","01:17","00:17","","01:00","",""
2025/12/19,"","10:00","18:00","09:26","18:38","08:12","01:12","00:12","","01:00","",""
2025/12/20,"公休","","","","","","","","","","",""
2025/12/21,"公休","","","","","","","","","","",""
2025/12/22,"","10:00","18:00","09:33","18:49","08:16","01:16","00:16","","01:00","",""
2025/12/23,"","10:00","18:00","09:28","19:08","08:40","01:40","00:40","","01:00","",""
2025/12/24,"","10:00","18:00","09:34","18:44","08:10","01:10","00:10","","01:00","",""
2025/12/25,"","10:00","18:00","09:27","18:55","08:28","01:28","00:28","","01:00","",""
2025/12/26,"","10:00","18:00","09:32","18:42","08:10","01:10","00:10","","01:00","",""
2025/12/27,"公休","","","","","","","","","","",""
2025/12/28,"公休","","","","","","","","","","",""
2025/12/29,"公休","","","","","","","","","","",""
2025/12/30,"公休","","","","","","","","","","",""
2025/12/31,"公休","","","","","","","","","","",""
