"日付","休日区分","シフト開始","シフト終了","出勤時刻","退勤時刻","労働時間","シフト外労働時間","残業時間","深夜時間","休憩時間","勤怠状況","エラー"
2025/1/1,"祝日","","","","","","","","","","",""
2025/1/2,"公休","","","","","","","","","","",""
2025/1/3,"公休","","","","","","","","","","",""
2025/1/4,"公休","","","","","","","","","","",""
2025/1/5,"公休","","","","","","","","","","",""
2025/1/6,"","10:00","18:00","09:32","18:48","08:16","01:16","00:16","","01:00","",""
2025/1/7,"","10:00","18:00","09:28","19:15","08:47","01:47","00:47","","01:00","",""
2025/1/8,"","10:00","18:00","09:35","18:42","08:07","01:07","00:07","","01:00","",""
2025/1/9,"","10:00","18:00","09:27","18:55","08:28","01:28","00:28","","01:00","",""
2025/1/10,"","10:00","18:00","09:31","18:38","08:07","01:07","00:07","","01:00","",""
2025/1/11,"公休","","","","","","","","","","",""
2025/1/12,"公休","","","","","","","","","","",""
2025/1/13,"祝日","","","","","","","","","","",""
2025/1/14,"","10:00","18:00","09:29","18:51","08:22","01:22","00:22","","01:00","",""
2025/1/15,"","10:00","18:00","09:33","19:08","08:35","01:35","00:35","","01:00","",""
2025/1/16,"","10:00","18:00","09:26","18:44","08:18","01:18","00:18","","01:00","",""
2025/1/17,"","10:00","18:00","09:34","18:52","08:18","01:18","00:18","","01:00","",""
2025/1/18,"公休","","","","","","","","","","",""
2025/1/19,"公休","","","","","","","","","","",""
2025/1/20,"","10:00","18:00","09:28","18:41","08:13","01:13","00:13","","01:00","",""
2025/1/21,"","10:00","18:00","09:31","19:22","08:51","01:51","00:51","","01:00","",""
2025/1/22,"","10:00","18:00","09:27","18:48","08:21","01:21","00:21","","01:00","",""
2025/1/23,"","10:00","18:00","09:35","18:55","08:20","01:20","00:20","","01:00","",""
2025/1/24,"","10:00","18:00","09:29","18:37","08:08","01:08","00:08","","01:00","",""
2025/1/25,"公休","","","","","","","","","","",""
2025/1/26,"公休","","","","","","","","","","",""
2025/1/27,"","10:00","18:00","09:32","18:49","08:17","01:17","00:17","","01:00","",""
2025/1/28,"","10:00","18:00","09:26","19:05","08:39","01:39","00:39","","01:00","",""
2025/1/29,"","10:00","18:00","09:33","18:42","08:09","01:09","00:09","","01:00","",""
2025/1/30,"","10:00","18:00","09:28","18:58","08:30","01:30","00:30","","01:00","",""
2025/1/31,"","10:00","18:00","09:34","18:35","08:01","01:01","00:01","","01:00","",""
