"日付","休日区分","シフト開始","シフト終了","出勤時刻","退勤時刻","労働時間","シフト外労働時間","残業時間","深夜時間","休憩時間","勤怠状況","エラー"
2025/3/1,"公休","","","","","","","","","","",""
2025/3/2,"公休","","","","","","","","","","",""
2025/3/3,"","10:00","18:00","09:28","18:55","08:27","01:27","00:27","","01:00","",""
2025/3/4,"","10:00","18:00","09:34","19:22","08:48","01:48","00:48","","01:00","",""
2025/3/5,"","10:00","18:00","09:27","18:41","08:14","01:14","00:14","","01:00","",""
2025/3/6,"","10:00","18:00","09:31","18:48","08:17","01:17","00:17","","01:00","",""
2025/3/7,"","10:00","18:00","09:29","18:35","08:06","01:06","00:06","","01:00","",""
2025/3/8,"公休","","","","","","","","","","",""
2025/3/9,"公休","","","","","","","","","","",""
2025/3/10,"","10:00","18:00","09:33","18:52","08:19","01:19","00:19","","01:00","",""
2025/3/11,"","10:00","18:00","09:26","19:15","08:49","01:49","00:49","","01:00","",""
2025/3/12,"","10:00","18:00","09:32","18:44","08:12","01:12","00:12","","01:00","",""
2025/3/13,"","10:00","18:00","09:28","18:58","08:30","01:30","00:30","","01:00","",""
2025/3/14,"","10:00","18:00","09:35","18:38","08:03","01:03","00:03","","01:00","",""
2025/3/15,"公休","","","","","","","","","","",""
2025/3/16,"公休","","","","","","","","","","",""
2025/3/17,"","10:00","18:00","09:27","18:51","08:24","01:24","00:24","","01:00","",""
2025/3/18,"","10:00","18:00","09:31","19:32","09:01","02:01","01:01","","01:00","",""
2025/3/19,"","10:00","18:00","09:29","18:42","08:13","01:13","00:13","","01:00","",""
2025/3/20,"祝日","","","","","","","","","","",""
2025/3/21,"","10:00","18:00","09:34","18:55","08:21","01:21","00:21","","01:00","",""
2025/3/22,"公休","","","","","","","","","","",""
2025/3/23,"公休","","","","","","","","","","",""
2025/3/24,"","10:00","18:00","09:28","18:48","08:20","01:20","00:20","","01:00","",""
2025/3/25,"","10:00","18:00","09:32","19:05","08:33","01:33","00:33","","01:00","",""
2025/3/26,"","10:00","18:00","09:26","18:41","08:15","01:15","00:15","","01:00","",""
2025/3/27,"","10:00","18:00","09:33","18:52","08:19","01:19","00:19","","01:00","",""
2025/3/28,"","10:00","18:00","09:29","18:37","08:08","01:08","00:08","","01:00","",""
2025/3/29,"公休","","","","","","","","","","",""
2025/3/30,"公休","","","","","","","","","","",""
2025/3/31,"","10:00","18:00","09:35","18:49","08:14","01:14","00:14","","01:00","",""
