"日付","休日区分","シフト開始","シフト終了","出勤時刻","退勤時刻","労働時間","シフト外労働時間","残業時間","深夜時間","休憩時間","勤怠状況","エラー"
2025/7/1,"","10:00","18:00","09:31","18:52","08:21","01:21","00:21","","01:00","",""
2025/7/2,"","10:00","18:00","09:27","19:08","08:41","01:41","00:41","","01:00","",""
2025/7/3,"","10:00","18:00","09:33","18:45","08:12","01:12","00:12","","01:00","",""
2025/7/4,"","10:00","18:00","09:29","18:38","08:09","01:09","00:09","","01:00","",""
2025/7/5,"公休","","","","","","","","","","",""
2025/7/6,"公休","","","","","","","","","","",""
2025/7/7,"","10:00","18:00","09:25","18:55","08:30","01:30","00:30","","01:00","",""
2025/7/8,"","10:00","18:00","09:32","19:22","08:50","01:50","00:50","","01:00","",""
2025/7/9,"","10:00","18:00","09:28","18:41","08:13","01:13","00:13","","01:00","",""
2025/7/10,"","10:00","18:00","09:34","18:48","08:14","01:14","00:14","","01:00","",""
2025/7/11,"","10:00","18:00","09:26","18:35","08:09","01:09","00:09","","01:00","",""
2025/7/12,"公休","","","","","","","","","","",""
2025/7/13,"公休","","","","","","","","","","",""
2025/7/14,"","10:00","18:00","09:31","18:58","08:27","01:27","00:27","","01:00","",""
2025/7/15,"","10:00","18:00","09:27","19:15","08:48","01:48","00:48","","01:00","",""
2025/7/16,"","10:00","18:00","09:33","18:42","08:09","01:09","00:09","","01:00","",""
2025/7/17,"","10:00","18:00","09:29","18:51","08:22","01:22","00:22","","01:00","",""
2025/7/18,"","10:00","18:00","09:24","18:37","08:13","01:13","00:13","","01:00","",""
2025/7/19,"公休","","","","","","","","","","",""
2025/7/20,"公休","","","","","","","","","","",""
2025/7/21,"祝日","","","","","","","","","","",""
2025/7/22,"","10:00","18:00","09:35","19:05","08:30","01:30","00:30","","01:00","",""
2025/7/23,"","10:00","18:00","09:28","18:44","08:16","01:16","00:16","","01:00","",""
2025/7/24,"","10:00","18:00","09:32","18:55","08:23","01:23","00:23","","01:00","",""
2025/7/25,"","10:00","18:00","09:26","18:38","08:12","01:12","00:12","","01:00","",""
2025/7/26,"公休","","","","","","","","","","",""
2025/7/27,"公休","","","","","","","","","","",""
2025/7/28,"","10:00","18:00","09:29","18:48","08:19","01:19","00:19","","01:00","",""
2025/7/29,"","10:00","18:00","09:34","19:12","08:38","01:38","00:38","","01:00","",""
2025/7/30,"","10:00","18:00","09:27","18:41","08:14","01:14","00:14","","01:00","",""
2025/7/31,"","10:00","18:00","09:31","18:52","08:21","01:21","00:21","","01:00","",""
