"日付","休日区分","シフト開始","シフト終了","出勤時刻","退勤時刻","労働時間","シフト外労働時間","残業時間","深夜時間","休憩時間","勤怠状況","エラー"
2025/10/1,"","10:00","18:00","09:29","18:48","08:19","01:19","00:19","","01:00","",""
2025/10/2,"","10:00","18:00","10:15","19:15","08:00","01:15","00:00","","01:00","遅刻",""
2025/10/3,"","10:00","18:00","09:27","16:30","06:03","00:30","","","01:00","早退",""
2025/10/4,"公休","","","","","","","","","","",""
2025/10/5,"公休","","","","","","","","","","",""
2025/10/6,"","10:00","18:00","09:32","18:55","08:23","01:23","00:23","","01:00","",""
2025/10/7,"有給","","","","","","","","","","有給",""
2025/10/8,"","10:00","18:00","09:35","18:44","08:09","01:09","00:09","","01:00","",""
2025/10/9,"","10:00","18:00","09:26","18:58","08:32","01:32","00:32","","01:00","",""
2025/10/10,"","10:00","18:00","09:33","21:15","10:42","03:42","02:42","00:15","01:00","",""
2025/10/11,"公休","","","","","","","","","","",""
2025/10/12,"公休","","","","","","","","","","",""
2025/10/13,"祝日","","","","","","","","","","",""
2025/10/14,"","10:00","18:00","09:29","18:51","08:22","01:22","00:22","","01:00","",""
2025/10/15,"","10:00","18:00","10:25","18:45","07:20","01:05","","","01:00","遅刻",""
2025/10/16,"","10:00","18:00","09:27","18:45","08:18","01:18","00:18","","01:00","",""
2025/10/17,"","10:00","18:00","09:32","20:30","10:58","03:58","02:58","00:30","01:00","",""
2025/10/18,"公休","","","","","","","","","","",""
2025/10/19,"公休","","","","","","","","","","",""
2025/10/20,"","10:00","18:00","","","","","","","","欠勤",""
2025/10/21,"","10:00","18:00","09:35","19:12","08:37","01:37","00:37","","01:00","",""
2025/10/22,"半休","10:00","18:00","13:00","18:30","04:30","00:30","","","01:00","午前半休",""
2025/10/23,"","10:00","18:00","09:33","18:55","08:22","01:22","00:22","","01:00","",""
2025/10/24,"","10:00","18:00","09:29","18:37","08:08","01:08","00:08","","01:00","",""
2025/10/25,"公休","","","","","","","","","","",""
2025/10/26,"公休","","","","","","","","","","",""
2025/10/27,"","10:00","18:00","09:34","18:49","08:15","01:15","00:15","","01:00","",""
2025/10/28,"有給","","","","","","","","","","有給",""
2025/10/29,"","10:00","18:00","09:32","18:44","08:12","01:12","00:12","","01:00","",""
2025/10/30,"","10:00","18:00","09:28","18:58","08:30","01:30","00:30","","01:00","",""
2025/10/31,"","10:00","18:00","09:35","22:00","11:25","04:25","03:25","01:00","01:00","",""
