"日付","休日区分","シフト開始","シフト終了","出勤時刻","退勤時刻","労働時間","シフト外労働時間","残業時間","深夜時間","休憩時間","勤怠状況","エラー"
2025/5/1,"","10:00","18:00","09:28","18:45","08:17","01:17","00:17","","01:00","",""
2025/5/2,"","10:00","18:00","09:31","19:12","08:41","01:41","00:41","","01:00","",""
2025/5/3,"祝日","","","","","","","","","","",""
2025/5/4,"祝日","","","","","","","","","","",""
2025/5/5,"祝日","","","","","","","","","","",""
2025/5/6,"振替","","","","","","","","","","",""
2025/5/7,"","10:00","18:00","09:22","18:38","08:16","01:16","00:16","","01:00","",""
2025/5/8,"","10:00","18:00","09:35","18:52","08:17","01:17","00:17","","01:00","",""
2025/5/9,"","10:00","18:00","09:29","19:05","08:36","01:36","00:36","","01:00","",""
2025/5/10,"公休","","","","","","","","","","",""
2025/5/11,"公休","","","","","","","","","","",""
2025/5/12,"","10:00","18:00","09:33","18:41","08:08","01:08","00:08","","01:00","",""
2025/5/13,"","10:00","18:00","09:27","18:55","08:28","01:28","00:28","","01:00","",""
2025/5/14,"","10:00","18:00","09:31","18:48","08:17","01:17","00:17","","01:00","",""
2025/5/15,"","10:00","18:00","09:24","19:22","08:58","01:58","00:58","","01:00","",""
2025/5/16,"","10:00","18:00","09:36","18:39","08:03","01:03","00:03","","01:00","",""
2025/5/17,"公休","","","","","","","","","","",""
2025/5/18,"公休","","","","","","","","","","",""
2025/5/19,"","10:00","18:00","09:28","18:47","08:19","01:19","00:19","","01:00","",""
2025/5/20,"","10:00","18:00","09:32","19:15","08:43","01:43","00:43","","01:00","",""
2025/5/21,"","10:00","18:00","09:25","18:42","08:17","01:17","00:17","","01:00","",""
2025/5/22,"","10:00","18:00","09:29","18:51","08:22","01:22","00:22","","01:00","",""
2025/5/23,"","10:00","18:00","09:34","18:38","08:04","01:04","00:04","","01:00","",""
2025/5/24,"公休","","","","","","","","","","",""
2025/5/25,"公休","","","","","","","","","","",""
2025/5/26,"","10:00","18:00","09:26","18:44","08:18","01:18","00:18","","01:00","",""
2025/5/27,"","10:00","18:00","09:31","19:08","08:37","01:37","00:37","","01:00","",""
2025/5/28,"","10:00","18:00","09:28","18:46","08:18","01:18","00:18","","01:00","",""
2025/5/29,"","10:00","18:00","09:33","18:52","08:19","01:19","00:19","","01:00","",""
2025/5/30,"","10:00","18:00","09:27","18:41","08:14","01:14","00:14","","01:00","",""
2025/5/31,"公休","","","","","","","","","","",""
