"日付","休日区分","シフト開始","シフト終了","出勤時刻","退勤時刻","労働時間","シフト外労働時間","残業時間","深夜時間","休憩時間","勤怠状況","エラー"
2025/8/1,"","10:00","18:00","09:28","18:45","08:17","01:17","00:17","","01:00","",""
2025/8/2,"公休","","","","","","","","","","",""
2025/8/3,"公休","","","","","","","","","","",""
2025/8/4,"","10:00","18:00","09:33","18:52","08:19","01:19","00:19","","01:00","",""
2025/8/5,"","10:00","18:00","09:26","19:08","08:42","01:42","00:42","","01:00","",""
2025/8/6,"","10:00","18:00","09:31","18:41","08:10","01:10","00:10","","01:00","",""
2025/8/7,"","10:00","18:00","09:27","18:55","08:28","01:28","00:28","","01:00","",""
2025/8/8,"","10:00","18:00","09:34","18:38","08:04","01:04","00:04","","01:00","",""
2025/8/9,"公休","","","","","","","","","","",""
2025/8/10,"公休","","","","","","","","","","",""
2025/8/11,"祝日","","","","","","","","","","",""
2025/8/12,"","10:00","18:00","09:29","18:48","08:19","01:19","00:19","","01:00","",""
2025/8/13,"","10:00","18:00","09:25","19:25","09:00","02:00","01:00","","01:00","",""
2025/8/14,"","10:00","18:00","09:32","18:42","08:10","01:10","00:10","","01:00","",""
2025/8/15,"","10:00","18:00","09:28","18:35","08:07","01:07","00:07","","01:00","",""
2025/8/16,"公休","","","","","","","","","","",""
2025/8/17,"公休","","","","","","","","","","",""
2025/8/18,"","10:00","18:00","09:34","18:51","08:17","01:17","00:17","","01:00","",""
2025/8/19,"","10:00","18:00","09:27","19:15","08:48","01:48","00:48","","01:00","",""
2025/8/20,"","10:00","18:00","09:31","18:44","08:13","01:13","00:13","","01:00","",""
2025/8/21,"","10:00","18:00","09:26","18:58","08:32","01:32","00:32","","01:00","",""
2025/8/22,"","10:00","18:00","09:33","18:37","08:04","01:04","00:04","","01:00","",""
2025/8/23,"公休","","","","","","","","","","",""
2025/8/24,"公休","","","","","","","","","","",""
2025/8/25,"","10:00","18:00","09:28","18:49","08:21","01:21","00:21","","01:00","",""
2025/8/26,"","10:00","18:00","09:32","19:05","08:33","01:33","00:33","","01:00","",""
2025/8/27,"","10:00","18:00","09:25","18:41","08:16","01:16","00:16","","01:00","",""
2025/8/28,"","10:00","18:00","09:29","18:52","08:23","01:23","00:23","","01:00","",""
2025/8/29,"","10:00","18:00","09:34","18:38","08:04","01:04","00:04","","01:00","",""
2025/8/30,"公休","","","","","","","","","","",""
2025/8/31,"公休","","","","","","","","","","",""
