"日付","休日区分","シフト開始","シフト終了","出勤時刻","退勤時刻","労働時間","シフト外労働時間","残業時間","深夜時間","休憩時間","勤怠状況","エラー"
2025/2/1,"公休","","","","","","","","","","",""
2025/2/2,"公休","","","","","","","","","","",""
2025/2/3,"","10:00","18:00","09:29","18:52","08:23","01:23","00:23","","01:00","",""
2025/2/4,"","10:00","18:00","09:35","19:18","08:43","01:43","00:43","","01:00","",""
2025/2/5,"","10:00","18:00","09:27","18:41","08:14","01:14","00:14","","01:00","",""
2025/2/6,"","10:00","18:00","09:31","18:55","08:24","01:24","00:24","","01:00","",""
2025/2/7,"","10:00","18:00","09:28","18:38","08:10","01:10","00:10","","01:00","",""
2025/2/8,"公休","","","","","","","","","","",""
2025/2/9,"公休","","","","","","","","","","",""
2025/2/10,"","10:00","18:00","09:33","18:48","08:15","01:15","00:15","","01:00","",""
2025/2/11,"祝日","","","","","","","","","","",""
2025/2/12,"","10:00","18:00","09:26","19:12","08:46","01:46","00:46","","01:00","",""
2025/2/13,"","10:00","18:00","09:32","18:44","08:12","01:12","00:12","","01:00","",""
2025/2/14,"","10:00","18:00","09:29","18:58","08:29","01:29","00:29","","01:00","",""
2025/2/15,"公休","","","","","","","","","","",""
2025/2/16,"公休","","","","","","","","","","",""
2025/2/17,"","10:00","18:00","09:34","18:51","08:17","01:17","00:17","","01:00","",""
2025/2/18,"","10:00","18:00","09:27","19:25","08:58","01:58","00:58","","01:00","",""
2025/2/19,"","10:00","18:00","09:31","18:42","08:11","01:11","00:11","","01:00","",""
2025/2/20,"","10:00","18:00","09:28","18:55","08:27","01:27","00:27","","01:00","",""
2025/2/21,"","10:00","18:00","09:35","18:37","08:02","01:02","00:02","","01:00","",""
2025/2/22,"公休","","","","","","","","","","",""
2025/2/23,"祝日","","","","","","","","","","",""
2025/2/24,"振替","","","","","","","","","","",""
2025/2/25,"","10:00","18:00","09:29","18:49","08:20","01:20","00:20","","01:00","",""
2025/2/26,"","10:00","18:00","09:33","19:08","08:35","01:35","00:35","","01:00","",""
2025/2/27,"","10:00","18:00","09:26","18:45","08:19","01:19","00:19","","01:00","",""
2025/2/28,"","10:00","18:00","09:32","18:52","08:20","01:20","00:20","","01:00","",""
