"日付","休日区分","シフト開始","シフト終了","出勤時刻","退勤時刻","労働時間","シフト外労働時間","残業時間","深夜時間","休憩時間","勤怠状況","エラー"
2025/9/1,"","10:00","18:00","09:28","18:45","08:17","01:17","00:17","","01:00","",""
2025/9/2,"","10:00","18:00","09:33","19:12","08:39","01:39","00:39","","01:00","",""
2025/9/3,"","10:00","18:00","09:27","18:41","08:14","01:14","00:14","","01:00","",""
2025/9/4,"","10:00","18:00","09:31","18:52","08:21","01:21","00:21","","01:00","",""
2025/9/5,"","10:00","18:00","09:29","18:38","08:09","01:09","00:09","","01:00","",""
2025/9/6,"公休","","","","","","","","","","",""
2025/9/7,"公休","","","","","","","","","","",""
2025/9/8,"","10:00","18:00","09:34","18:55","08:21","01:21","00:21","","01:00","",""
2025/9/9,"","10:00","18:00","09:26","19:18","08:52","01:52","00:52","","01:00","",""
2025/9/10,"","10:00","18:00","09:32","18:44","08:12","01:12","00:12","","01:00","",""
2025/9/11,"","10:00","18:00","09:28","18:58","08:30","01:30","00:30","","01:00","",""
2025/9/12,"","10:00","18:00","09:35","18:37","08:02","01:02","00:02","","01:00","",""
2025/9/13,"公休","","","","","","","","","","",""
2025/9/14,"公休","","","","","","","","","","",""
2025/9/15,"祝日","","","","","","","","","","",""
2025/9/16,"","10:00","18:00","09:27","18:51","08:24","01:24","00:24","","01:00","",""
2025/9/17,"","10:00","18:00","09:33","19:25","08:52","01:52","00:52","","01:00","",""
2025/9/18,"","10:00","18:00","09:29","18:42","08:13","01:13","00:13","","01:00","",""
2025/9/19,"","10:00","18:00","09:34","18:55","08:21","01:21","00:21","","01:00","",""
2025/9/20,"公休","","","","","","","","","","",""
2025/9/21,"公休","","","","","","","","","","",""
2025/9/22,"","10:00","18:00","09:26","18:48","08:22","01:22","00:22","","01:00","",""
2025/9/23,"祝日","","","","","","","","","","",""
2025/9/24,"","10:00","18:00","09:32","19:08","08:36","01:36","00:36","","01:00","",""
2025/9/25,"","10:00","18:00","09:28","18:45","08:17","01:17","00:17","","01:00","",""
2025/9/26,"","10:00","18:00","09:35","18:52","08:17","01:17","00:17","","01:00","",""
2025/9/27,"公休","","","","","","","","","","",""
2025/9/28,"公休","","","","","","","","","","",""
2025/9/29,"","10:00","18:00","09:27","18:41","08:14","01:14","00:14","","01:00","",""
2025/9/30,"","10:00","18:00","09:33","18:55","08:22","01:22","00:22","","01:00","",""
