"日付","休日区分","シフト開始","シフト終了","出勤時刻","退勤時刻","労働時間","シフト外労働時間","残業時間","深夜時間","休憩時間","勤怠状況","エラー"
2025/6/1,"公休","","","","","","","","","","",""
2025/6/2,"","10:00","18:00","09:29","18:48","08:19","01:19","00:19","","01:00","",""
2025/6/3,"","10:00","18:00","09:25","19:25","09:00","02:00","01:00","","01:00","",""
2025/6/4,"","10:00","18:00","09:32","18:41","08:09","01:09","00:09","","01:00","",""
2025/6/5,"","10:00","18:00","09:28","18:55","08:27","01:27","00:27","","01:00","",""
2025/6/6,"","10:00","18:00","09:34","18:38","08:04","01:04","00:04","","01:00","",""
2025/6/7,"公休","","","","","","","","","","",""
2025/6/8,"公休","","","","","","","","","","",""
2025/6/9,"","10:00","18:00","09:27","18:52","08:25","01:25","00:25","","01:00","",""
2025/6/10,"","10:00","18:00","09:31","19:18","08:47","01:47","00:47","","01:00","",""
2025/6/11,"","10:00","18:00","09:26","18:44","08:18","01:18","00:18","","01:00","",""
2025/6/12,"","10:00","18:00","09:33","18:58","08:25","01:25","00:25","","01:00","",""
2025/6/13,"","10:00","18:00","09:29","18:35","08:06","01:06","00:06","","01:00","",""
2025/6/14,"公休","","","","","","","","","","",""
2025/6/15,"公休","","","","","","","","","","",""
2025/6/16,"","10:00","18:00","09:24","18:49","08:25","01:25","00:25","","01:00","",""
2025/6/17,"","10:00","18:00","09:35","19:32","09:57","02:57","01:57","","01:00","",""
2025/6/18,"","10:00","18:00","09:28","18:42","08:14","01:14","00:14","","01:00","",""
2025/6/19,"","10:00","18:00","09:31","18:51","08:20","01:20","00:20","","01:00","",""
2025/6/20,"","10:00","18:00","09:27","18:37","08:10","01:10","00:10","","01:00","",""
2025/6/21,"公休","","","","","","","","","","",""
2025/6/22,"公休","","","","","","","","","","",""
2025/6/23,"","10:00","18:00","09:32","18:45","08:13","01:13","00:13","","01:00","",""
2025/6/24,"","10:00","18:00","09:26","19:05","08:39","01:39","00:39","","01:00","",""
2025/6/25,"","10:00","18:00","09:29","18:48","08:19","01:19","00:19","","01:00","",""
2025/6/26,"","10:00","18:00","09:34","18:56","08:22","01:22","00:22","","01:00","",""
2025/6/27,"","10:00","18:00","09:25","18:33","08:08","01:08","00:08","","01:00","",""
2025/6/28,"公休","","","","","","","","","","",""
2025/6/29,"公休","","","","","","","","","","",""
2025/6/30,"","10:00","18:00","09:28","18:47","08:19","01:19","00:19","","01:00","",""
